ID_Caso;Tipo_Ataque;Pais;Idade_Vitima;Especie_Tubarao
1;Não Provocado;USA;46.0;Tubarão Branco
2;Provocado;USA;55.0;
3;Provocado;BRAZIL;62.0;Tubarão Tigre
4;Não Provocado;USA;22.0;
5;Provocado;SOUTH AFRICA;;Tubarão Branco
6;Desastre Marítimo;BRAZIL;66.0;Tubarão Branco
7;Provocado;SOUTH AFRICA;13.0;Tubarão Tigre
8;Provocado;AUSTRALIA;58.0;
9;Provocado;USA;16.0;Tubarão Tigre
10;Desastre Marítimo;AUSTRALIA;20.0;Tubarão Tigre
11;Não Provocado;AUSTRALIA;;
12;Desastre Marítimo;USA;54.0;Tubarão Tigre
13;Não Provocado;BRAZIL;32.0;Tubarão Branco
14;Não Provocado;USA;37.0;
15;Não Provocado;AUSTRALIA;;
16;Provocado;AUSTRALIA;35.0;
17;Provocado;BRAZIL;34.0;
18;Não Provocado;USA;;Tubarão Tigre
19;Não Provocado;AUSTRALIA;;Tubarão Tigre
20;Provocado;SOUTH AFRICA;45.0;Tubarão Branco
21;Desastre Marítimo;AUSTRALIA;23.0;Tubarão Cabeça-Chata
22;Não Provocado;AUSTRALIA;44.0;Tubarão Cabeça-Chata
23;Desastre Marítimo;BRAZIL;;Tubarão Branco
24;Provocado;SOUTH AFRICA;26.0;Tubarão Cabeça-Chata
25;Não Provocado;AUSTRALIA;76.0;Tubarão Branco
26;Desastre Marítimo;AUSTRALIA;39.0;Tubarão Tigre
27;Desastre Marítimo;SOUTH AFRICA;54.0;
28;Desastre Marítimo;USA;60.0;
29;Provocado;USA;56.0;Tubarão Tigre
30;Provocado;AUSTRALIA;62.0;
31;Desastre Marítimo;AUSTRALIA;73.0;
32;Desastre Marítimo;USA;47.0;Tubarão Cabeça-Chata
33;Provocado;BRAZIL;73.0;Tubarão Tigre
34;Desastre Marítimo;SOUTH AFRICA;;Tubarão Cabeça-Chata
35;Desastre Marítimo;SOUTH AFRICA;31.0;Tubarão Cabeça-Chata
36;Provocado;BRAZIL;50.0;
37;Desastre Marítimo;BRAZIL;19.0;
38;Desastre Marítimo;BRAZIL;66.0;Tubarão Tigre
39;Desastre Marítimo;BRAZIL;16.0;
40;Provocado;BRAZIL;59.0;
41;Desastre Marítimo;BRAZIL;;Tubarão Tigre
42;Provocado;SOUTH AFRICA;42.0;
43;Provocado;BRAZIL;10.0;Tubarão Cabeça-Chata
44;Não Provocado;USA;62.0;Tubarão Tigre
45;Não Provocado;BRAZIL;69.0;
46;Desastre Marítimo;BRAZIL;43.0;Tubarão Branco
47;Provocado;SOUTH AFRICA;13.0;Tubarão Tigre
48;Não Provocado;SOUTH AFRICA;;Tubarão Tigre
49;Desastre Marítimo;BRAZIL;13.0;Tubarão Branco
50;Não Provocado;SOUTH AFRICA;;
51;Não Provocado;AUSTRALIA;13.0;
52;Provocado;SOUTH AFRICA;10.0;Tubarão Tigre
53;Provocado;SOUTH AFRICA;59.0;Tubarão Tigre
54;Não Provocado;SOUTH AFRICA;;
55;Não Provocado;SOUTH AFRICA;;
56;Provocado;USA;17.0;Tubarão Cabeça-Chata
57;Desastre Marítimo;USA;33.0;Tubarão Tigre
58;Provocado;USA;45.0;Tubarão Tigre
59;Não Provocado;BRAZIL;59.0;Tubarão Branco
60;Desastre Marítimo;BRAZIL;;Tubarão Cabeça-Chata
61;Não Provocado;AUSTRALIA;;
62;Desastre Marítimo;USA;41.0;Tubarão Cabeça-Chata
63;Não Provocado;BRAZIL;;
64;Desastre Marítimo;SOUTH AFRICA;37.0;
